1606348800.0,19.62400000,20.33500000,15.84400000,17.13600000,55341.82900000,1606435199999,950218.26846400,4998,27150.70500000,466338.70411000,0
1606435200.0,17.21000000,17.61900000,16.23700000,17.12000000,14701.44200000,1606521599999,248206.64599500,1435,8367.95100000,141676.27598100,0
1606521600.0,17.09800000,18.05000000,16.56500000,17.54100000,7633.66100000,1606607999999,133846.20264100,858,3695.25700000,64577.79817500,0
1606608000.0,17.52000000,17.97700000,16.91700000,17.69700000,11511.81900000,1606694399999,201862.49954200,950,4020.51300000,70565.61757600,0
1606694400.0,17.69700000,18.78400000,17.35000000,18.57300000,30501.21300000,1606780799999,552127.16546700,1899,17200.20000000,310425.37816400,0
1606780800.0,18.60200000,19.32300000,16.91300000,17.54000000,25468.66100000,1606867199999,460076.57030800,2877,11545.99200000,210468.90142500,0
1606867200.0,17.49900000,18.41400000,17.21100000,18.03000000,12516.11700000,1606953599999,224592.05522900,1514,7169.83200000,128785.98983600,0
1606953600.0,18.02200000,19.19900000,17.87400000,18.86100000,19588.08300000,1607039999999,361894.45006100,1379,5558.39900000,103245.79348700,0
1607040000.0,18.86600000,19.00400000,17.10000000,17.29300000,14778.46100000,1607126399999,267954.05322900,1160,7896.54500000,143941.21661000,0
1607126400.0,17.33500000,18.00200000,17.05900000,17.97100000,6074.71500000,1607212799999,108028.46820300,579,3163.76900000,56111.52354300,0
1607212800.0,17.95000000,18.11100000,17.54500000,17.91900000,3037.29600000,1607299199999,54056.93436200,388,1293.16000000,22994.47738500,0
1607299200.0,17.84900000,17.87200000,17.24900000,17.47300000,7570.77700000,1607385599999,133501.42329200,800,2013.96400000,35577.92462700,0
1607385600.0,17.45500000,17.49900000,16.14700000,16.45300000,8849.08800000,1607471999999,148671.76091300,717,2445.60300000,41058.89498900,0
1607472000.0,16.41200000,17.01900000,15.71500000,16.95100000,6867.82600000,1607558399999,112233.86878900,801,2903.56000000,47507.53295700,0
1607558400.0,16.95300000,16.95300000,16.02200000,16.24000000,3292.37800000,1607644799999,53937.39968600,445,1399.13500000,22925.75306800,0
1607644800.0,16.23000000,16.24500000,15.51000000,15.90400000,5658.69200000,1607731199999,89702.00557800,553,2612.28100000,41478.33815100,0
1607731200.0,15.90700000,16.64300000,15.89200000,16.45100000,4206.12900000,1607817599999,69188.16847100,436,2239.18200000,36833.93092100,0
1607817600.0,16.48500000,17.76400000,16.42400000,17.30000000,9413.58300000,1607903999999,162108.52979000,752,5458.68100000,94361.35083800,0
1607904000.0,17.28100000,17.66000000,16.92400000,17.40100000,4457.72400000,1607990399999,76981.02681700,455,2476.53100000,42803.66331400,0
1607990400.0,17.40500000,17.54400000,16.73100000,17.10300000,4262.98200000,1608076799999,73088.46124600,832,2277.84300000,39178.89843900,0
1608076800.0,17.09000000,17.97100000,16.66600000,17.94900000,13260.09200000,1608163199999,230982.27265700,1539,9045.36600000,157430.86763900,0
1608163200.0,17.99600000,18.76100000,17.41500000,17.78900000,23551.62300000,1608249599999,427235.04802400,3393,10580.17800000,192362.47836100,0
1608249600.0,17.73700000,18.30700000,17.37700000,17.93300000,6361.48600000,1608335999999,113704.59581100,1691,2815.18200000,50475.10338500,0
1608336000.0,17.90900000,18.47800000,17.66700000,17.86000000,10860.76200000,1608422399999,197322.84850800,1257,2481.81100000,45087.42935000,0
1608422400.0,17.83000000,18.50800000,17.03000000,17.54500000,16206.51500000,1608508799999,290464.41518300,2248,7840.36900000,141535.90487400,0
1608508800.0,17.53600000,17.84000000,16.08000000,16.51700000,13334.62700000,1608595199999,226658.34497800,2310,4800.76500000,81149.32261400,0
1608595200.0,16.55100000,16.91700000,15.77300000,16.56200000,9550.24500000,1608681599999,157007.20877700,1547,3828.38400000,62697.31645600,0
1608681600.0,16.57300000,16.63700000,12.17800000,13.44300000,31523.77700000,1608767999999,458676.08288500,2801,12661.61200000,185092.88346700,0
1608768000.0,13.44300000,15.29100000,13.09400000,15.27200000,16840.77900000,1608854399999,237314.62817400,1442,8572.99600000,121521.74740500,0
1608854400.0,15.28900000,15.86400000,14.59700000,15.17800000,10773.54100000,1608940799999,163642.27451100,1247,5325.72800000,81110.11608800,0
1608940800.0,15.17800000,15.44700000,14.27100000,14.92900000,17551.97200000,1609027199999,261843.32243800,1374,6614.21500000,98982.23322000,0
1609027200.0,14.99500000,15.90400000,14.04200000,15.07200000,16752.27800000,1609113599999,254534.39523500,2374,8198.32200000,124936.92754300,0
1609113600.0,15.11800000,16.24700000,14.98000000,15.60400000,21197.86300000,1609199999999,333140.44724500,2153,8005.09700000,125717.51550600,0
1609200000.0,15.59100000,15.91400000,14.37300000,15.06400000,18047.42800000,1609286399999,269995.50604400,2218,7011.72300000,104935.77217400,0
1609286400.0,15.11800000,15.19300000,14.50000000,14.69900000,8262.12300000,1609372799999,121991.01301100,962,1820.12200000,26949.84576500,0
1609372800.0,14.67400000,14.72700000,13.97900000,14.25200000,5501.21000000,1609459199999,78926.40782100,892,1957.68400000,28113.53644800,0
1609459200.0,14.29500000,14.90000000,14.15100000,14.50400000,9189.38900000,1609545599999,133539.32566700,998,4031.85200000,58537.18275600,0
1609545600.0,14.45900000,14.77500000,14.05000000,14.44700000,18538.36500000,1609631999999,267977.08166700,1868,6513.05100000,94124.84576900,0
1609632000.0,14.46400000,16.36100000,14.01600000,16.05200000,44088.02200000,1609718399999,671755.43728700,4215,22131.28200000,337312.45169400,0
1609718400.0,16.07600000,17.83700000,14.44200000,16.38100000,64264.77600000,1609804799999,1049173.96648900,6646,26080.54600000,427322.27123700,0
